date,Y,C,I,w,r,A,N,Y/N
1979-01-01,9.364862411412354,8.859647499714997,10.146215827014979,5.805134968916488,11.19,-0.22111047841699266,-0.29014611502312904,9.655008526435482
1980-01-01,9.437157168656688,8.947285869349132,10.126048017888754,5.762051382780177,13.36,-0.2388247446181657,-0.3047191199891721,9.74187628864586
1981-01-01,9.54273286919502,9.036938912556787,10.140770725378498,5.7430031878094825,16.38,-0.23254680457816476,-0.3049772208559518,9.847710090050972
1982-01-01,9.57491403870827,9.095939111666207,10.115140532163018,5.746203190540153,12.26,-0.25175822371924333,-0.31000289254473634,9.884916931253008
1983-01-01,9.64904681386415,9.183585634667363,10.15421522993462,5.749392985908253,9.09,-0.23200754598399043,-0.2967123749262658,9.945759188790415
1984-01-01,9.745604917619191,9.26321741157695,10.218355404248896,5.749392985908253,10.23,-0.21035051801939855,-0.28370239834579775,10.029307315964989
1985-01-01,9.808682245262217,9.339085327866744,10.250198006077946,5.765191102784844,8.1,-0.2021076827995846,-0.28884137392302484,10.09752361918524
1986-01-01,9.8536143020404,9.391995039782433,10.274463255526975,5.7899601708972535,6.81,-0.1913449227833093,-0.30105782960706123,10.154672131647462
1987-01-01,9.903087472514787,9.446755465483632,10.296037494102853,5.796057750765372,6.66,-0.1909330390219349,-0.2968180898782527,10.199905562393042
1988-01-01,9.969602954742989,9.516942329280475,10.325644349082236,5.786897381366708,7.57,-0.18145999719586728,-0.30009889851637067,10.26970185325936
1989-01-01,10.034691238151472,9.579003173560242,10.35044382034358,5.7745515455444085,9.22,-0.1764763894111647,-0.29796799260209655,10.332659230753569
1990-01-01,10.078910367638926,9.630628408975985,10.356217545022844,5.755742213586912,8.1,-0.17205999413732226,-0.3133913802130085,10.392301747851935
1991-01-01,10.097778851943309,9.652073119254888,10.338182271815198,5.746203190540153,5.69,-0.17533972288530553,-0.32579845312049244,10.423577305063802
1992-01-01,10.141598530972125,9.701187753026508,10.359282746145068,5.749392985908253,3.52,-0.15078946733509907,-0.3330715563284009,10.474670087300526
1993-01-01,10.179223553969509,9.747067633264827,10.377068456635179,5.762051382780177,3.02,-0.14946211047871577,-0.323299364007953,10.502522917977462
1994-01-01,10.227706451275253,9.793616881400416,10.40823739476614,5.752572638825633,4.2,-0.14356241847974782,-0.315822476623063,10.543528927898317
1995-01-01,10.263153020397368,9.831722986306817,10.422213095110354,5.749392985908253,5.84,-0.14545411039892844,-0.31891163340167095,10.582064653799039
1996-01-01,10.306650011581617,9.875293818165346,10.449743397686658,5.746203190540153,5.3,-0.1366106383963248,-0.31596765280720573,10.622617664388823
1997-01-01,10.355295387837245,9.91758767691491,10.484829175201368,5.749392985908253,5.46,-0.12770245847712078,-0.3104285878361104,10.665723975673355
1998-01-01,10.398701952787901,9.965569934832672,10.5188247225774,5.7745515455444085,5.35,-0.11790306426236423,-0.31458347131852393,10.713285424106424
1999-01-01,10.448076718454924,10.021048341275273,10.556619681659656,5.799092654460526,4.97,-0.10426951155488037,-0.3206770646317886,10.768753783086712
2000-01-01,10.499517922316345,10.084266253072569,10.587682241108574,5.811140992976701,6.24,-0.09411705255220937,-0.32865094325260147,10.828168865568948
2001-01-01,10.521372248595526,10.118639253920785,10.584477723955763,5.820082930352362,3.89,-0.0922883659708817,-0.3478405380520276,10.869212786647553
2002-01-01,10.544130179113925,10.147256921643994,10.590848012024853,5.823045895483019,1.67,-0.07893745881046821,-0.36206762504033807,10.906197804154262
2003-01-01,10.582003212551355,10.18994387406209,10.607320135549587,5.820082930352362,1.13,-0.059909119197998704,-0.3654042585721074,10.947407471123462
2004-01-01,10.637248705981328,10.242421043498677,10.634427950217303,5.823045895483019,1.35,-0.04266444115952988,-0.3633709543579244,11.000619660339252
2005-01-01,10.693103332582247,10.296373878437432,10.656844860080216,5.808142489980444,3.21,-0.031767095169001745,-0.3636533184197424,11.05675665100199
2006-01-01,10.741449107803486,10.343225254586388,10.67395384159991,5.808142489980444,4.96,-0.031170508171351953,-0.3585656880337523,11.10001479583724
2007-01-01,10.7784353208759,10.382977295992266,10.68091298387166,5.814130531825066,5.02,-0.03310980989151052,-0.363034597754899,11.141469918630799
2008-01-01,10.789298458156308,10.404293143019792,10.662690119929715,5.814130531825066,1.93,-0.039680432608127446,-0.37948737946068634,11.168785837616994
2009-01-01,10.760516483531394,10.379535378766175,10.60662439139373,5.84354441703136,0.16,-0.03937758580871542,-0.4138365580889832,11.174353041620376
2010-01-01,10.790740746286989,10.407711432667556,10.630458238501223,5.834810737062605,0.18,-0.02310837417716058,-0.4054305822914816,11.19617132857847
