,SD,SD%,p,corr_Y
Y,0.03414890307407593,41675492760.52287,0.7649410627873998,1.0
C,0.03523993257038017,28781166467.339264,0.8272773326218298,0.9784544698731772
I,0.03174117401028821,27692665525.965916,0.7174955296426417,0.5185689693030879
w,0.0197347769247283,22665612752.169903,0.712321569889012,-0.15584309266260624
r,1.8025913928420338,3245312782372.4355,0.5165096315558614,0.14238400032150067
A,0.011090942354588301,-4172617375415.157,0.5589931918508841,0.15466648915714679
N,0.012061397548701771,-360853347766.0002,0.6432945320788732,0.5584703118655656
Y/N,0.029181766280651316,31609161625.291122,0.7899337856857908,0.9393869569079403
